TripID,Date,start_station,end_station,start_lon,start_lat,end_lon,end_lat
1,2020-05-13,30,188,-79.42083382863086,43.636361016149166,-79.60348779545632,43.789000396181365
2,2022-09-25,52,215,-79.61367070011795,43.77276849380461,-79.4837341868598,43.68105653689476
3,2017-11-18,114,77,-79.41626832169015,43.6182012026594,-79.33697319461965,43.76907737874193
4,2023-09-21,41,15,-79.27043044264894,43.640227191932496,-79.44502839469817,43.73097737807082
5,2021-05-05,63,46,-79.15912932123058,43.65881085584406,-79.2201187984366,43.58775811095722
6,2021-03-17,85,177,-79.55451416783501,43.58654290318023,-79.26372915169225,43.658755457457154
7,2018-04-08,79,113,-79.52187042206526,43.82189146520104,-79.2969610849442,43.61097174057737
8,2023-04-06,263,72,-79.15774969722145,43.68868403034983,-79.14527832367924,43.5874269020441
9,2022-04-24,4,227,-79.45666593173985,43.67824372186092,-79.5761717187753,43.78328707302921
10,2022-04-30,300,64,-79.54419586377219,43.65775203432655,-79.54167383653578,43.80076082116459
11,2021-08-19,76,181,-79.37123641535175,43.76020015930291,-79.56897998031229,43.79294239570852
12,2019-02-21,126,217,-79.19141757674981,43.82383304005256,-79.15616906306707,43.72885492881061
13,2019-05-30,12,206,-79.38254418981262,43.83377784862649,-79.37379148614593,43.841419617803766
14,2019-01-19,102,21,-79.21741127269809,43.634004070763474,-79.43732809951064,43.71151437831577
15,2021-09-18,184,299,-79.22349681635853,43.80067137504695,-79.45533089479898,43.841275221395776
16,2020-03-19,270,194,-79.39393209887669,43.61743476313073,-79.1637247910304,43.78805545228999
17,2023-05-26,255,83,-79.21328415826895,43.77468505093828,-79.61134546483402,43.679304238639304
18,2021-06-12,159,214,-79.12636194145773,43.64899467203766,-79.5299874222884,43.676828021935655
19,2023-04-24,128,276,-79.28121374850627,43.80411766343517,-79.33317203214858,43.76276351657696
20,2015-07-02,63,78,-79.15912932123058,43.65881085584406,-79.51576591795776,43.594604967427436
21,2021-05-16,256,125,-79.14503519761377,43.74789576957002,-79.31328054762446,43.70367287136148
22,2015-11-25,244,262,-79.574168407246475,43.719052620029544,-79.47494069824927,43.707649642501494
23,2019-07-30,149,87,-79.37854653387797,43.5921771667758,-79.47191033105366,43.687151989776176
24,2018-10-20,229,229,-79.31945870211814,43.68513066266663,-79.31945870211814,43.68513066266663
25,2021-04-11,172,178,-79.54552257119678,43.59945144102676,-79.48553871200886,43.668090372122826
26,2022-12-14,279,298,-79.44539787387941,43.698941204899455,-79.12910994247534,43.83521735078888
27,2018-05-26,199,140,-79.51537724130787,43.80033963172464,-79.43367480545305,43.83580095240614
28,2020-04-24,258,22,-79.59825954621658,43.76393967790762,-79.22550590895582,43.838069496289826
29,2020-10-03,42,122,-79.3673009901587,43.58819510233821,-79.32396379171871,43.80242434771033
